F.I.Sh,ijtimoiy holati,ijtimoiy qatlami,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,davomat
lbmyv,yolg'iz,3,2,4,2,3,3,32
vhspv,boquvchisini yo'qotgan,4,4,4,4,4,3,27
kwaqf,yoshlar daftari,3,2,3,2,3,4,11
vxbyz,temir daftar,4,2,2,2,4,2,18
gapmc,ijtimoiy ximoyaga muhtoj oila restor,4,2,4,2,2,3,67
uxgrg,yoshlar daftari,4,4,3,2,3,4,62
wlhuf,oliali,2,4,3,2,3,3,76
ntbnc,oliali,3,2,3,4,3,3,21
yorhh,ijtimoiy ximoyaga muhtoj oila restor,4,4,2,2,2,4,22
fiygc,yolg'iz,4,2,2,2,4,3,32
ptgrs,boquvchisini yo'qotgan,4,2,4,3,4,2,7
bowdh,chin yetim,3,3,2,4,4,3,18
szikg,ijtimoiy ximoyaga muhtoj oila restor,4,2,3,4,3,3,13
awrdh,oliali,3,4,2,4,3,3,21
sbjdk,yolg'iz,3,3,2,2,4,2,39
dcvzu,yoshlar daftari,4,3,3,3,3,3,80
szfxd,temir daftar,3,2,4,2,3,2,98
npgge,boquvchisini yo'qotgan,4,2,2,3,4,4,17
dwvwu,boquvchisini yo'qotgan,3,3,3,3,4,4,21
kphuw,ijtimoiy ximoyaga muhtoj oila restor,2,2,4,3,2,3,13
eoklv,ijtimoiy ximoyaga muhtoj oila restor,2,2,3,2,2,3,92
xcopz,boquvchisini yo'qotgan,2,3,2,4,2,3,70
ogqeh,ijtimoiy ximoyaga muhtoj oila restor,4,4,3,2,4,3,28
iacap,yoshlar daftari,3,2,3,2,4,2,61
ykzxd,boquvchisini yo'qotgan,4,2,3,3,3,2,19
bdjrz,ijtimoiy ximoyaga muhtoj oila restor,3,4,3,4,4,4,24
qmhlj,ijtimoiy ximoyaga muhtoj oila restor,2,2,2,3,4,2,35
akorj,oliali,4,2,4,3,3,2,76
qtrrl,chin yetim,4,4,2,3,3,3,37
qujku,oliali,4,4,2,3,3,2,8
mqpcl,ijtimoiy ximoyaga muhtoj oila restor,3,3,4,3,2,4,89
iqzuu,ijtimoiy ximoyaga muhtoj oila restor,2,3,2,2,4,3,81
nldvh,oliali,3,3,2,4,4,4,9
iwqps,yolg'iz,3,4,3,2,2,3,17
nbyij,boquvchisini yo'qotgan,2,3,4,3,3,2,23
tebvt,yolg'iz,2,3,3,2,4,3,6
zpgpb,boquvchisini yo'qotgan,3,3,2,2,4,3,18
tcgky,yoshlar daftari,4,4,2,3,4,2,85
eurdk,oliali,2,2,2,2,3,2,12
ukjks,temir daftar,4,4,3,2,2,4,64
vgyqg,ijtimoiy ximoyaga muhtoj oila restor,4,2,4,3,2,3,66
bxduj,chin yetim,4,2,4,4,2,2,42
txuon,oliali,3,4,2,3,3,3,41
sxeqj,oliali,4,3,4,4,3,4,1
ievrj,temir daftar,3,2,4,3,4,3,77
jtbur,oliali,2,2,3,4,4,2,15
rvsod,chin yetim,4,4,3,4,4,4,9
otfam,oliali,4,3,2,4,2,3,63
vwdcq,oliali,3,2,2,4,3,2,11
gwhqt,yolg'iz,3,3,4,4,4,3,62
jsndf,oliali,4,2,4,2,3,2,50
ynhmt,chin yetim,3,4,2,4,2,4,40
orvud,yolg'iz,2,4,2,3,2,3,65
uyyki,boquvchisini yo'qotgan,4,2,4,3,3,4,62
ynlsl,temir daftar,4,2,3,4,4,2,2
hbakz,oliali,4,3,2,4,4,2,56
pvmed,yolg'iz,4,4,2,3,3,2,24
ehhim,yolg'iz,3,4,3,2,2,3,55
txvto,chin yetim,4,4,2,3,4,2,33
sthde,yolg'iz,3,3,3,4,4,2,97
znfyd,yoshlar daftari,2,2,4,4,4,4,86
zmtfx,yoshlar daftari,3,3,4,4,2,2,33
bkcgv,chin yetim,3,3,2,2,3,4,5
ibjnd,yolg'iz,3,2,2,3,4,3,6
zlnmy,temir daftar,3,2,4,2,4,2,92
flmga,yolg'iz,3,4,4,4,2,4,23
wqqbm,yolg'iz,3,2,3,4,4,3,3
ownfw,yolg'iz,3,3,3,4,3,4,36
jcdnj,temir daftar,2,2,2,2,2,3,24
ektqr,ijtimoiy ximoyaga muhtoj oila restor,3,4,2,2,4,3,42
wuchn,yoshlar daftari,3,2,4,4,2,3,49
jmnzo,boquvchisini yo'qotgan,2,3,4,3,3,2,66
ftaxs,ijtimoiy ximoyaga muhtoj oila restor,2,3,2,2,4,3,83
rpisx,temir daftar,3,2,2,3,2,3,3
drtde,yolg'iz,3,4,3,3,3,2,31
snefs,ijtimoiy ximoyaga muhtoj oila restor,4,4,3,3,3,2,86
bixvu,chin yetim,3,4,3,4,4,3,52
kdvnp,chin yetim,4,2,2,2,4,2,78
agbmq,yoshlar daftari,2,3,4,2,2,3,78
qbkss,oliali,2,3,4,3,4,4,65
jyhqz,temir daftar,2,2,3,2,2,4,76
zemew,chin yetim,2,4,3,3,3,4,93
wxbbr,yolg'iz,2,4,4,4,2,4,11
ijixn,chin yetim,3,2,3,4,4,2,14
aoakh,yoshlar daftari,2,2,4,4,2,2,76
bwafz,temir daftar,2,3,4,4,4,4,64
uxxjc,boquvchisini yo'qotgan,2,2,4,4,4,4,93
szjxk,ijtimoiy ximoyaga muhtoj oila restor,3,4,4,4,2,2,70
hvaix,yoshlar daftari,2,4,4,2,2,2,70
gaaly,yoshlar daftari,2,3,4,4,2,4,15
alpaf,yolg'iz,4,2,4,3,2,2,46
qsmkm,oliali,2,4,4,3,4,4,80
bwtoe,yoshlar daftari,3,4,4,2,4,3,75
gkrdl,temir daftar,3,2,3,4,2,2,98
icvtz,yoshlar daftari,4,2,3,3,3,2,14
xznre,boquvchisini yo'qotgan,4,3,3,4,3,2,85
zpldo,chin yetim,2,4,2,2,2,4,91
ywfhs,boquvchisini yo'qotgan,2,2,3,3,4,3,26
copsk,oliali,2,3,4,4,2,2,31
ajhhg,ijtimoiy ximoyaga muhtoj oila restor,4,4,4,3,3,3,53
pszwp,yolg'iz,2,2,4,4,2,2,51
nwzgd,ijtimoiy ximoyaga muhtoj oila restor,3,2,2,2,2,2,55
uutqr,oliali,2,3,3,3,4,3,59
zrnuc,yoshlar daftari,4,2,3,2,2,2,36
rebzc,yolg'iz,2,3,2,2,2,4,25
ygliw,boquvchisini yo'qotgan,2,3,2,2,2,2,5
tzzvq,yolg'iz,4,4,3,4,2,2,51
acufj,ijtimoiy ximoyaga muhtoj oila restor,3,3,3,4,4,2,75
haajt,boquvchisini yo'qotgan,3,3,2,2,2,4,32
sabwq,chin yetim,4,3,2,2,4,3,90
twxss,chin yetim,3,2,4,3,2,2,93
fhqhb,yoshlar daftari,2,4,2,4,4,2,62
jsimx,boquvchisini yo'qotgan,2,2,4,4,2,2,8
bbabv,yolg'iz,4,2,2,4,3,3,70
hedkt,temir daftar,2,4,4,4,2,2,56
occkd,yolg'iz,2,2,4,4,2,4,28
ujxjg,yolg'iz,3,4,2,4,3,3,21
uzmdw,yolg'iz,2,4,3,2,4,3,33
pkrwp,yolg'iz,3,4,2,4,2,2,72
oxant,yolg'iz,4,2,2,4,3,3,35
