F.I.Sh,ijtimoiy holati,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,o'rtacha bahosi,davomat
gtokh,ijtimoiy ximoyaga muhtoj oila reestr,2,4,2,4,4,3.2,61%
ugzsw,yoshlar daftari,2,3,4,2,4,3.0,78%
kkxud,temir daftar,3,2,2,2,3,2.4,70%
hxcvu,chin yetim,4,2,4,4,3,3.4,14%
bxlfb,boquvchisini yo'qotgan,2,4,2,2,3,2.6,45%
ualzv,temir daftar,2,2,4,3,2,2.6,63%
lyqjp,boquvchisini yo'qotgan,4,3,3,4,4,3.6,45%
ooslw,ijtimoiy ximoyaga muhtoj oila reestr,4,4,4,2,2,3.2,55%
tyces,yolg'iz,3,2,2,2,4,2.6,43%
guigr,chin yetim,3,3,3,3,2,2.8,74%
dynrz,oilali,2,4,3,2,2,2.6,28%
izubt,chin yetim,4,4,4,2,2,3.2,94%
oglho,ijtimoiy ximoyaga muhtoj oila reestr,4,3,4,4,4,3.8,61%
cnqdr,chin yetim,4,2,3,4,3,3.2,88%
hdbfv,oilali,3,3,4,2,4,3.2,51%
jdvrz,yoshlar daftari,3,3,2,4,3,3.0,53%
lbjdn,boquvchisini yo'qotgan,2,3,2,2,4,2.6,87%
pohnw,oilali,3,4,3,4,3,3.4,56%
yhupm,temir daftar,4,2,3,3,2,2.8,82%
rouxz,ijtimoiy ximoyaga muhtoj oila reestr,4,3,3,4,2,3.2,65%
ymiom,yoshlar daftari,4,4,4,3,2,3.4,21%
aygix,temir daftar,2,4,3,4,3,3.2,19%
alhxk,temir daftar,3,3,3,2,3,2.8,32%
sqhcc,ijtimoiy ximoyaga muhtoj oila reestr,3,4,4,2,4,3.4,71%
aejgz,yoshlar daftari,3,4,2,4,4,3.4,24%
igihl,yolg'iz,2,2,3,4,3,2.8,45%
bapww,temir daftar,4,4,3,4,4,3.8,72%
xeclh,temir daftar,4,2,3,2,3,2.8,97%
vcace,yoshlar daftari,3,4,3,2,2,2.8,56%
oncae,chin yetim,2,3,2,3,2,2.4,86%
zwngi,temir daftar,2,3,2,4,3,2.8,4%
oozjm,boquvchisini yo'qotgan,3,3,4,3,2,3.0,54%
sgqtd,yoshlar daftari,2,2,3,2,3,2.4,60%
ewgmo,temir daftar,2,4,4,4,4,3.6,88%
kdmgs,ijtimoiy ximoyaga muhtoj oila reestr,3,2,4,3,4,3.2,7%
vbjmy,oilali,4,3,3,2,2,2.8,15%
ufllt,boquvchisini yo'qotgan,4,4,2,2,3,3.0,47%
kzwyg,oilali,2,2,4,2,4,2.8,60%
aayyt,oilali,2,3,2,2,2,2.2,14%
micgf,temir daftar,4,3,2,4,3,3.2,64%
hieas,boquvchisini yo'qotgan,4,4,3,2,4,3.4,21%
jlxov,boquvchisini yo'qotgan,4,2,2,3,3,2.8,2%
xitqq,chin yetim,3,2,4,4,3,3.2,53%
ztlgb,oilali,2,4,3,4,4,3.4,13%
cqeqx,boquvchisini yo'qotgan,2,2,4,3,2,2.6,35%
qqbbv,chin yetim,4,2,2,2,4,2.8,81%
weaas,yoshlar daftari,3,3,3,2,4,3.0,81%
bulzf,chin yetim,2,3,3,4,2,2.8,66%
wdwkx,ijtimoiy ximoyaga muhtoj oila reestr,3,4,2,2,3,2.8,9%
qfxet,yolg'iz,3,2,2,3,2,2.4,48%
bfvkp,temir daftar,3,2,3,4,3,3.0,64%
paifp,yoshlar daftari,3,4,2,4,3,3.2,90%
ctdsz,yolg'iz,2,4,2,2,4,2.8,56%
cstgt,yolg'iz,2,4,3,2,3,2.8,26%
iahgr,yoshlar daftari,3,2,4,2,3,2.8,74%
hakyy,ijtimoiy ximoyaga muhtoj oila reestr,3,4,2,3,3,3.0,4%
rwjcg,chin yetim,3,4,3,3,2,3.0,70%
pzpyt,temir daftar,2,3,3,2,4,2.8,82%
qbapl,chin yetim,4,4,4,4,4,4.0,56%
eewii,boquvchisini yo'qotgan,4,4,2,4,4,3.6,92%
csppc,chin yetim,4,3,2,2,2,2.6,14%
txvxa,yoshlar daftari,4,4,3,2,4,3.4,98%
xtkqh,temir daftar,2,3,3,3,2,2.6,75%
dfhtc,chin yetim,4,4,3,4,3,3.6,29%
pycyr,temir daftar,2,3,2,3,4,2.8,19%
nrbvc,temir daftar,4,3,4,4,4,3.8,36%
pidad,boquvchisini yo'qotgan,2,4,2,3,4,3.0,2%
anupt,boquvchisini yo'qotgan,4,4,3,2,2,3.0,72%
xhgcq,yoshlar daftari,4,3,3,3,3,3.2,40%
aplsv,ijtimoiy ximoyaga muhtoj oila reestr,3,2,2,2,4,2.6,38%
wvnff,yolg'iz,3,4,3,2,4,3.2,25%
msvhb,temir daftar,2,3,3,3,2,2.6,1%
uaoae,ijtimoiy ximoyaga muhtoj oila reestr,3,2,4,3,3,3.0,22%
psdcq,yolg'iz,3,4,3,2,2,2.8,22%
qlnuf,yolg'iz,3,3,4,4,4,3.6,84%
ciexq,yoshlar daftari,3,4,4,2,4,3.4,15%
nucat,yolg'iz,2,2,4,2,3,2.6,8%
uwacr,yolg'iz,3,4,3,2,3,3.0,12%
yjvzc,temir daftar,4,4,2,4,3,3.4,27%
hnxro,temir daftar,4,2,4,3,2,3.0,26%
vwbjb,oilali,3,2,4,2,2,2.6,50%
zqhai,ijtimoiy ximoyaga muhtoj oila reestr,4,3,4,2,4,3.4,63%
kvpgj,chin yetim,2,4,4,3,2,3.0,51%
wzcry,boquvchisini yo'qotgan,3,2,4,2,3,2.8,80%
xmzgy,chin yetim,3,3,2,3,3,2.8,37%
dmtah,ijtimoiy ximoyaga muhtoj oila reestr,3,4,4,2,2,3.0,99%
npnls,boquvchisini yo'qotgan,3,4,3,3,4,3.4,64%
wobbw,chin yetim,4,4,2,2,3,3.0,17%
vsyzv,oilali,2,4,4,2,3,3.0,62%
zzvqt,boquvchisini yo'qotgan,3,2,3,3,3,2.8,50%
jfovk,temir daftar,4,4,2,4,3,3.4,8%
eahul,chin yetim,4,2,4,3,3,3.2,12%
legdf,boquvchisini yo'qotgan,2,4,4,4,3,3.4,39%
mtocw,oilali,2,4,3,3,3,3.0,54%
htpmr,yolg'iz,4,4,4,4,4,4.0,78%
jsqxs,boquvchisini yo'qotgan,4,4,4,4,3,3.8,42%
zwzez,boquvchisini yo'qotgan,4,2,3,4,2,3.0,43%
uwilu,oilali,4,2,2,2,2,2.4,67%
azzao,yolg'iz,3,3,2,4,2,2.8,32%
bvpyh,chin yetim,3,4,3,3,4,3.4,23%
muapg,yoshlar daftari,2,2,2,2,4,2.4,35%
evwcl,chin yetim,4,4,3,4,2,3.4,9%
zpsev,yolg'iz,3,2,2,4,4,3.0,99%
yneoq,ijtimoiy ximoyaga muhtoj oila reestr,2,2,3,4,3,2.8,19%
ntelp,oilali,3,3,2,3,3,2.8,74%
zzpug,chin yetim,2,4,4,3,2,3.0,11%
daewz,boquvchisini yo'qotgan,4,3,3,2,3,3.0,61%
jvedb,oilali,4,2,4,4,4,3.6,17%
tjzsz,temir daftar,3,3,4,4,2,3.2,93%
axemd,yolg'iz,2,3,3,2,4,2.8,62%
pxpwb,chin yetim,3,4,2,3,3,3.0,83%
qtxlr,oilali,2,3,2,3,2,2.4,24%
caask,chin yetim,3,4,4,4,3,3.6,11%
elcaa,oilali,3,4,4,2,2,3.0,20%
hjklm,boquvchisini yo'qotgan,2,4,4,4,2,3.2,24%
lnbsr,temir daftar,3,4,3,3,3,3.2,10%
cwqzh,temir daftar,2,3,4,2,4,3.0,63%
zjzbs,ijtimoiy ximoyaga muhtoj oila reestr,4,2,4,4,2,3.2,72%
igdzu,oilali,4,3,4,3,4,3.6,49%
rmkxd,chin yetim,2,2,4,2,4,2.8,61%
yuydj,temir daftar,2,3,4,3,3,3.0,88%
eixcq,yolg'iz,4,3,4,3,4,3.6,98%
cpdrq,temir daftar,4,2,4,4,3,3.4,95%
gxwel,yoshlar daftari,4,2,3,3,2,2.8,48%
qwmwy,yoshlar daftari,3,3,3,3,2,2.8,13%
ciqqt,temir daftar,2,3,3,2,2,2.4,0%
pyvms,oilali,2,3,3,4,2,2.8,80%
qdlis,ijtimoiy ximoyaga muhtoj oila reestr,3,2,3,2,3,2.6,24%
lignt,temir daftar,4,4,2,3,3,3.2,58%
szopu,boquvchisini yo'qotgan,2,3,2,3,2,2.4,71%
eclyt,chin yetim,3,2,3,4,3,3.0,68%
uduwp,ijtimoiy ximoyaga muhtoj oila reestr,2,4,3,4,3,3.2,4%
ygmuj,boquvchisini yo'qotgan,4,2,3,3,2,2.8,98%
zgnze,ijtimoiy ximoyaga muhtoj oila reestr,4,2,2,4,2,2.8,18%
cwkkr,boquvchisini yo'qotgan,3,3,3,2,3,2.8,22%
olijz,chin yetim,3,3,3,3,3,3.0,8%
lqfgn,chin yetim,2,3,3,4,2,2.8,93%
mhjir,yoshlar daftari,2,2,2,3,3,2.4,49%
zbeef,oilali,4,4,2,4,4,3.6,15%
shpma,boquvchisini yo'qotgan,2,2,4,3,4,3.0,32%
vtqgy,yoshlar daftari,4,3,3,2,2,2.8,1%
mddfs,boquvchisini yo'qotgan,4,3,2,4,3,3.2,13%
lvgjz,yoshlar daftari,4,2,2,3,4,3.0,0%
sgcmm,chin yetim,3,2,2,4,4,3.0,89%
rzthi,ijtimoiy ximoyaga muhtoj oila reestr,4,3,4,4,2,3.4,57%
gacmy,yolg'iz,2,4,4,2,4,3.2,88%
