F.I.Sh,ijtimoiy holati,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,o'rtacha bahosi
gtokh,induksiya metodi,95,70,56,49,67,61.833333333333336
ugzsw,Deduksiya metodi,41,71,79,60,94,63.5
kkxud,induksiya metodi,82,69,68,39,58,46.5
hxcvu,induksiya metodi,69,59,31,57,76,56.666666666666664
bxlfb,Deduksiya metodi,61,61,56,83,85,58.0
ualzv,induksiya metodi,60,53,64,59,84,51.666666666666664
lyqjp,zakovatli zukko metodi,93,62,75,62,97,55.166666666666664
ooslw,Deduksiya metodi,93,59,58,91,59,61.666666666666664
tyces,Deduksiya metodi,41,96,44,39,90,42.166666666666664
guigr,Taqqoslash usuli,52,40,45,78,43,53.666666666666664
dynrz,Fikriy hujum metodi,35,71,46,71,39,52.166666666666664
izubt,zakovatli zukko metodi,75,78,38,68,31,50.833333333333336
oglho,6x6x6 metodi,97,81,40,66,51,49.333333333333336
cnqdr,zakovatli zukko metodi,81,34,31,34,61,42.833333333333336
hdbfv,induksiya metodi,48,33,75,55,79,59.666666666666664
jdvrz,zakovatli zukko metodi,55,61,73,55,90,59.833333333333336
lbjdn,Deduksiya metodi,80,88,67,55,74,45.166666666666664
pohnw,induksiya metodi,60,99,74,60,90,50.333333333333336
yhupm,Deduksiya metodi,77,74,89,90,81,54.333333333333336
rouxz,6x6x6 metodi,81,91,55,96,78,61.166666666666664
ymiom,klaster metodi,73,65,82,73,51,54.833333333333336
aygix,Deduksiya metodi,31,36,45,73,94,46.833333333333336
alhxk,Deduksiya metodi,98,90,59,71,54,61.833333333333336
sqhcc,Fikriy hujum metodi,86,61,79,39,51,56.666666666666664
aejgz,induksiya metodi,70,76,43,32,82,37.666666666666664
igihl,Fikriy hujum metodi,45,90,57,64,31,62.333333333333336
bapww,zakovatli zukko metodi,90,85,84,47,78,53.833333333333336
xeclh,zakovatli zukko metodi,71,36,33,72,88,68.33333333333333
vcace,Fikriy hujum metodi,78,89,35,49,60,43.833333333333336
oncae,zakovatli zukko metodi,51,61,76,63,56,63.333333333333336
zwngi,klaster metodi,73,59,62,56,85,45.833333333333336
oozjm,zakovatli zukko metodi,52,72,83,97,82,45.333333333333336
sgqtd,klaster metodi,69,89,38,39,39,57.333333333333336
ewgmo,Fikriy hujum metodi,59,39,87,65,73,44.5
kdmgs,Fikriy hujum metodi,86,72,52,33,41,52.833333333333336
vbjmy,Taqqoslash usuli,78,53,42,97,63,51.0
ufllt,induksiya metodi,38,39,94,83,72,54.5
kzwyg,induksiya metodi,88,88,96,90,67,46.166666666666664
aayyt,Deduksiya metodi,37,94,34,72,89,53.666666666666664
micgf,induksiya metodi,55,40,63,31,50,46.166666666666664
hieas,6x6x6 metodi,55,34,38,79,39,53.833333333333336
jlxov,Fikriy hujum metodi,87,39,65,85,91,49.5
xitqq,Analogiya metodi,66,70,77,51,90,59.166666666666664
ztlgb,klaster metodi,77,93,66,70,34,62.833333333333336
