F.I.Sh,ijtimoiy holati,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,o'rtacha bahosi,davomat
M. Farruh,oilali,3,4,5,4,4,4.0,89%
U. Abdulvali,chin yetim,4,3,4,4,3,3.6,88%
P. Abduljalil,yolg'iz,4,4,5,4,5,4.4,73%
Q. Javlon,temir daftar,4,5,3,5,2,3.8,89%
P. Anora,temir daftar,5,4,3,4,2,3.6,77%
U. Shirin,ijtimoiy ximoyaga muhtoj oila reestr,5,3,5,4,4,4.2,91%
O. Ali,ijtimoiy ximoyaga muhtoj oila reestr,5,4,4,2,5,4.0,93%
T. Mahan,temir daftar,3,4,3,4,4,3.6,89%
C. Rayxona,yolg'iz,5,3,3,5,3,3.8,96%
T. Gulchexra,oilali,2,4,3,3,5,3.4,11%
T. Yoznur,yolg'iz,3,4,4,5,4,4.0,77%
R. Abdulkarim,oilali,4,4,3,4,4,3.8,82%
C. Sadar,yolg'iz,2,3,5,2,3,3.0,27%
T. Gulchexra,yoshlar daftari,3,2,5,4,3,3.4,7%
J. Saida,boquvchisini yo'qotgan,2,4,4,4,5,3.8,82%
W. Zulfiya,ijtimoiy ximoyaga muhtoj oila reestr,5,5,3,2,2,3.4,48%
P. Abdulhakim,oilali,5,5,2,5,5,4.4,71%
N. Orif,yolg'iz,5,4,4,3,2,3.6,93%
N. Muxlisa,chin yetim,2,4,3,2,4,3.0,44%
M. Abdulaziz,oilali,5,5,5,3,5,4.6,30%
A. Shaxnoza,boquvchisini yo'qotgan,4,4,2,4,4,3.6,76%
H. Ahbor,oilali,4,4,5,4,4,4.2,42%
S. Ahror,boquvchisini yo'qotgan,5,5,5,4,5,4.8,37%
R. Oybek,chin yetim,5,5,4,5,3,4.4,74%
Y. Nasiba,ijtimoiy ximoyaga muhtoj oila reestr,5,4,5,2,3,3.8,84%
A. Fotih,temir daftar,4,5,4,5,5,4.6,77%
L. Afzuna,temir daftar,2,5,3,4,2,3.2,86%
B. Abdulxamid,oilali,4,5,2,4,3,3.6,11%
S. Omina,boquvchisini yo'qotgan,5,2,4,5,5,4.2,7%
J. Lola,boquvchisini yo'qotgan,4,5,5,3,2,3.8,94%
V. Muslima,boquvchisini yo'qotgan,5,3,5,4,3,4.0,97%
D. Yulduz,yolg'iz,4,5,5,2,5,4.2,81%
S. Gulasal,boquvchisini yo'qotgan,3,4,3,3,2,3.0,68%
Y. Hikmat,chin yetim,4,4,4,4,5,4.2,92%
Z. Dilrabo,yolg'iz,4,5,5,4,5,4.6,88%
N. Abdulmalik,oilali,3,4,4,2,4,3.4,96%
S. Gulbaxor,ijtimoiy ximoyaga muhtoj oila reestr,3,4,3,5,4,3.8,73%
M. Moxidil,yolg'iz,3,4,2,2,3,2.8,85%
U. Sirojiddin,temir daftar,4,3,5,3,2,3.4,88%
A. Sobit,temir daftar,2,4,4,3,3,3.2,83%
G. Sulaymon,chin yetim,5,5,4,4,2,4.0,12%
F. Nurbek,yoshlar daftari,5,4,2,4,3,3.6,97%
V. Zabir,yolg'iz,5,3,4,5,3,4.0,88%
C. Dilafruz,yolg'iz,2,5,5,4,3,3.8,47%
N. Sherzod,oilali,5,4,4,3,4,4.0,72%
I. Najmiddin,oilali,4,5,3,4,2,3.6,79%
L. Gulnoza,temir daftar,4,5,5,4,3,4.2,30%
P. Elmurod,chin yetim,4,4,2,3,2,3.0,15%
G. Ansor,boquvchisini yo'qotgan,5,4,5,4,3,4.2,91%
H. Javohir,temir daftar,4,4,4,5,3,4.0,88%
W. Abdurrazzoq,yolg'iz,4,3,5,5,5,4.4,68%
K. Ramziya,yoshlar daftari,5,2,3,4,5,3.8,96%
A. Muazzam,chin yetim,5,4,5,4,4,4.4,85%
U. Safo,chin yetim,4,5,4,5,4,4.4,96%
K. Malika,yolg'iz,4,3,4,4,5,4.0,99%
S. Abdulqodir,temir daftar,4,4,4,5,4,4.2,95%
M. Farhod,boquvchisini yo'qotgan,5,2,5,3,5,4.0,94%
S. Maxfuza,ijtimoiy ximoyaga muhtoj oila reestr,3,3,4,4,5,3.8,52%
U. Maxsuma,oilali,4,5,3,5,5,4.4,57%
C. Bahriddin,yolg'iz,5,3,4,5,4,4.2,60%
F. Shahobiddin,temir daftar,2,5,3,2,4,3.2,79%
S. Ravshan,temir daftar,4,4,3,4,4,3.8,82%
B. Abdussamad,yoshlar daftari,4,5,4,4,2,3.8,64%
R. Akmal,ijtimoiy ximoyaga muhtoj oila reestr,5,5,4,5,4,4.6,83%
D. Nafisa,boquvchisini yo'qotgan,3,3,2,4,3,3.0,78%
D. Muhsin,chin yetim,5,5,5,4,5,4.8,80%
B. Yahyo,chin yetim,5,3,3,2,4,3.4,11%
R. Zarina,yolg'iz,4,3,5,4,3,3.8,92%
Y. Madina,oilali,5,4,5,4,2,4.0,93%
G. Shoira,chin yetim,5,5,3,5,5,4.6,35%
L. Halima,temir daftar,5,3,3,4,5,4.0,38%
L. Qobil,yoshlar daftari,4,4,4,5,5,4.4,99%
M. Afif,yolg'iz,5,4,2,5,2,3.6,94%
"J. Rasifa, Rasixa",ijtimoiy ximoyaga muhtoj oila reestr,5,4,4,2,5,4.0,90%
E. Afzal,oilali,3,5,3,3,3,3.4,13%
L. Rauf,ijtimoiy ximoyaga muhtoj oila reestr,3,4,2,5,5,3.8,87%
A. Omad,oilali,4,5,4,5,4,4.4,89%
S. Ravshan,temir daftar,4,3,5,4,4,4.0,75%
S. Suhrob,boquvchisini yo'qotgan,2,4,4,5,3,3.6,91%
N. Jalol,boquvchisini yo'qotgan,2,4,5,4,5,4.0,80%
Y. Qudrat,oilali,4,3,3,3,5,3.6,13%
E. Muhammad,ijtimoiy ximoyaga muhtoj oila reestr,5,4,4,5,4,4.4,77%
"Z. Nosir, Nosirjon",ijtimoiy ximoyaga muhtoj oila reestr,3,5,3,5,5,4.2,1%
N. Akifa,temir daftar,5,3,5,4,4,4.2,99%
C. Shukrulloh,oilali,4,5,4,4,5,4.4,96%
H. Alisher,ijtimoiy ximoyaga muhtoj oila reestr,3,4,5,5,2,3.8,90%
C. Ma’mur,yoshlar daftari,2,5,3,4,4,3.6,85%
L. Gulzoda,boquvchisini yo'qotgan,4,5,2,4,4,3.8,15%
E. Sevara,yoshlar daftari,5,3,5,5,5,4.6,89%
R. Shaxlo,yolg'iz,4,3,5,5,2,3.8,22%
Y. Laziz,temir daftar,5,4,3,4,4,4.0,34%
V. Husniya,oilali,3,4,3,3,5,3.6,28%
B. Farangiz,chin yetim,4,5,4,4,4,4.2,96%
C. Safura,temir daftar,5,5,2,4,5,4.2,7%
Y. Zubayr,temir daftar,4,4,3,4,5,4.0,83%
E. Guljamol,chin yetim,4,4,5,4,3,4.0,18%
B. Ramziddin,ijtimoiy ximoyaga muhtoj oila reestr,3,4,3,3,3,3.2,87%
N. Sherzod,chin yetim,5,4,5,3,4,4.2,75%
A. Botir,oilali,4,5,4,4,5,4.4,3%
Y. Sojida,ijtimoiy ximoyaga muhtoj oila reestr,3,5,4,4,4,4.0,40%
F. Ma’sud,boquvchisini yo'qotgan,5,3,4,2,4,3.6,83%
K. Bahrom,yoshlar daftari,4,3,4,5,5,4.2,6%
U. Usmon,boquvchisini yo'qotgan,4,4,4,4,4,4.0,94%
L. Jasmina,boquvchisini yo'qotgan,4,4,3,4,5,4.0,87%
F. Nurbek,boquvchisini yo'qotgan,2,5,5,2,2,3.2,74%
B. Vosil,boquvchisini yo'qotgan,5,4,2,4,5,4.0,17%
A. Safir,boquvchisini yo'qotgan,5,3,4,5,4,4.2,85%
G. Muxsina,oilali,2,4,2,4,4,3.2,7%
N. Abdulvohid,chin yetim,2,5,4,4,3,3.6,95%
W. Zulfiya,boquvchisini yo'qotgan,4,2,3,5,4,3.6,83%
Z. Adham,boquvchisini yo'qotgan,4,4,4,5,5,4.4,90%
B. Sulton,temir daftar,4,2,5,4,5,4.0,78%
U. Usmon,oilali,4,5,4,4,5,4.4,89%
U. Fazliddin,temir daftar,5,5,2,4,4,4.0,89%
P. Bahodir,yolg'iz,3,4,5,3,5,4.0,94%
E. Zaynab,temir daftar,2,3,2,4,3,2.8,7%
N. Yoqub,boquvchisini yo'qotgan,3,4,4,3,5,3.8,73%
H. Muattar,boquvchisini yo'qotgan,4,4,5,4,3,4.0,91%
H. Abdulhafiz,chin yetim,2,4,3,5,5,3.8,68%
Y. Nizom,boquvchisini yo'qotgan,4,4,2,4,5,3.8,88%
B. Vosil,ijtimoiy ximoyaga muhtoj oila reestr,2,3,4,5,3,3.4,15%
L. Qobil,temir daftar,4,3,5,3,4,3.8,82%
P. Abduljalil,oilali,4,2,4,4,5,3.8,76%
P. Rizvon,yoshlar daftari,5,5,3,5,5,4.6,5%
"P. Miron, Miran",temir daftar,3,4,5,5,4,4.2,23%
J. Saida,yolg'iz,4,5,5,4,5,4.6,98%
P. Isroil,yolg'iz,3,4,2,5,3,3.4,33%
N. A’zam,oilali,3,4,4,3,4,3.6,90%
H. Safiya,oilali,4,2,4,3,5,3.6,64%
R. Sadriddin,chin yetim,3,4,4,5,5,4.2,79%
B. Asolat,chin yetim,5,4,5,5,3,4.4,95%
P. Anora,oilali,4,4,3,5,5,4.2,99%
I. Lutfulloh,boquvchisini yo'qotgan,5,5,5,4,4,4.6,90%
X. Mushtariy,ijtimoiy ximoyaga muhtoj oila reestr,5,4,2,4,4,3.8,61%
A. Fotih,boquvchisini yo'qotgan,2,5,3,5,4,3.8,9%
S. Ismoil,temir daftar,4,3,5,2,5,3.8,39%
G. Jasur,yoshlar daftari,2,5,5,4,4,4.0,77%
I. Najmiddin,boquvchisini yo'qotgan,5,4,3,5,2,3.8,90%
B. G‘afur,chin yetim,3,3,4,4,4,3.6,70%
N. Sherzod,yoshlar daftari,5,4,5,3,5,4.4,82%
I. G‘iyos,boquvchisini yo'qotgan,4,2,5,3,4,3.6,6%
U. Afruza,yoshlar daftari,3,3,5,4,4,3.8,73%
Y. Qudrat,chin yetim,5,4,5,4,4,4.4,61%
U. Diyor,chin yetim,5,3,5,3,2,3.6,82%
K. Jaloliddin,boquvchisini yo'qotgan,4,4,3,5,4,4.0,75%
"A. Rayona, Rayyona",boquvchisini yo'qotgan,4,4,4,5,4,4.2,96%
D. Abbos,oilali,4,5,3,5,4,4.2,22%
U. Safo,boquvchisini yo'qotgan,5,3,4,4,5,4.2,71%
A. Afzun,yolg'iz,5,3,3,3,2,3.2,13%
A. Muazzam,boquvchisini yo'qotgan,5,4,3,4,5,4.2,98%
K. Ziyo,temir daftar,3,4,3,5,3,3.6,75%
J. Maqsud,yolg'iz,4,2,2,4,2,2.8,79%
B. Zohir,ijtimoiy ximoyaga muhtoj oila reestr,3,5,4,3,4,3.8,10%
F. Boymurod,boquvchisini yo'qotgan,5,4,4,4,3,4.0,51%
Y. Zaynura,chin yetim,4,4,4,4,3,3.8,80%
C. Mustafo,boquvchisini yo'qotgan,4,4,5,4,5,4.4,24%
N. Mashxura,temir daftar,5,5,4,4,5,4.6,64%
P. Isroil,temir daftar,2,3,4,5,3,3.4,27%
W. Amir,chin yetim,5,4,4,3,4,4.0,82%
T. Mavdud,chin yetim,5,4,4,3,3,3.8,93%
V. Habib,yoshlar daftari,4,5,4,4,5,4.4,50%
B. Ramziddin,oilali,3,5,5,4,2,3.8,75%
O. Shahriyor,boquvchisini yo'qotgan,5,4,3,4,4,4.0,80%
Y. Mardon,temir daftar,2,4,4,5,5,4.0,90%
X. Kubad,yoshlar daftari,4,3,4,3,2,3.2,53%
M. Asila,boquvchisini yo'qotgan,5,5,5,5,3,4.6,98%
S. Maloxat,yolg'iz,4,4,2,2,5,3.4,85%
F. Abdulboriy,oilali,2,5,4,2,5,3.6,77%
N. Sodiq,chin yetim,4,5,4,5,4,4.4,91%
Z. Latofat,ijtimoiy ximoyaga muhtoj oila reestr,5,4,5,3,4,4.2,90%
M. Ilyos,ijtimoiy ximoyaga muhtoj oila reestr,4,3,5,3,5,4.0,18%
N. Sherzod,yoshlar daftari,4,5,5,5,4,4.6,91%
W. Yasmina,ijtimoiy ximoyaga muhtoj oila reestr,4,4,4,2,3,3.4,77%
P. Yusuf,yolg'iz,3,4,2,4,4,3.4,0%
S. Suhrob,yoshlar daftari,5,3,5,5,5,4.6,83%
W. Durdona,temir daftar,5,5,4,5,3,4.4,82%
B. G‘afur,chin yetim,3,4,2,3,5,3.4,36%
S. Ihtiyor,ijtimoiy ximoyaga muhtoj oila reestr,5,5,4,3,3,4.0,98%
V. Samina,chin yetim,4,4,4,4,2,3.6,10%
U. Husnida,temir daftar,4,4,3,5,4,4.0,12%
C. Mustafo,oilali,5,4,2,5,4,4.0,82%
C. Zarnigor,yolg'iz,5,4,4,2,3,3.6,61%
K. Zamira,oilali,3,4,4,5,4,4.0,79%
R. Moxira,temir daftar,3,3,5,5,3,3.8,89%
L. Gulzoda,yolg'iz,5,4,4,3,5,4.2,42%
N. Abdulvohid,temir daftar,5,5,2,5,5,4.4,14%
B. Zoxida,boquvchisini yo'qotgan,4,3,4,2,3,3.2,88%
B. Abdulxamid,chin yetim,4,4,3,3,5,3.8,64%
W. Durdona,oilali,3,5,5,4,4,4.2,2%
V. Ashraf,temir daftar,3,5,4,5,3,4.0,13%
X. Kubad,temir daftar,4,4,5,5,5,4.6,77%
R. Munisa,yolg'iz,2,5,3,5,2,3.4,95%
N. Orif,boquvchisini yo'qotgan,4,5,3,5,5,4.4,96%
M. Munif,chin yetim,3,4,2,3,4,3.2,15%
X. Lutfi,yoshlar daftari,5,4,4,5,5,4.6,83%
N. Sodiq,boquvchisini yo'qotgan,5,4,3,4,4,4.0,93%
I. G‘iyos,chin yetim,5,3,4,4,4,4.0,43%
Y. Kamola,ijtimoiy ximoyaga muhtoj oila reestr,2,4,4,2,3,3.0,76%
J. Saida,temir daftar,2,3,2,4,3,2.8,32%
X. Dovud,boquvchisini yo'qotgan,5,5,4,4,4,4.4,99%
T. Uzayr,yoshlar daftari,3,5,4,2,4,3.6,96%
G. Ansor,oilali,4,3,4,3,4,3.6,83%
M. To‘lqin,boquvchisini yo'qotgan,4,5,5,3,5,4.4,31%
M. Hamza,chin yetim,3,4,4,5,2,3.6,90%
U. Sirojiddin,chin yetim,4,4,4,5,2,3.8,72%
C. Aziza,oilali,5,4,5,4,5,4.6,53%
C. Bahriddin,boquvchisini yo'qotgan,4,5,5,4,5,4.6,97%
D. Abdulvahhob,oilali,3,3,4,4,5,3.8,90%
B. Jamila,boquvchisini yo'qotgan,3,4,3,3,3,3.2,88%
Y. Mardon,temir daftar,3,5,5,4,3,4.0,28%
T. Uzayr,oilali,5,3,3,5,3,3.8,80%
S. Mubina,ijtimoiy ximoyaga muhtoj oila reestr,4,5,5,5,3,4.4,91%
N. Abdulfattoh,yoshlar daftari,5,4,4,4,4,4.2,75%
G. Vasliya,yoshlar daftari,5,4,5,5,5,4.8,66%
B. Abdussamad,oilali,5,3,5,4,5,4.4,74%
V. Zabir,temir daftar,4,4,3,4,3,3.6,71%
M. Ozod,oilali,4,5,3,5,5,4.4,37%
I. Lutfulloh,chin yetim,5,2,2,4,2,3.0,26%
U. Ahmad,yolg'iz,4,5,3,3,4,3.8,33%
D. Sardor,oilali,5,3,5,4,5,4.4,94%
Y. Islom,yolg'iz,3,4,3,4,4,3.6,90%
P. Samandar,yoshlar daftari,5,4,2,5,3,3.8,88%
W. Dilso‘z,temir daftar,4,4,5,2,4,3.8,24%
J. Ikrom,yolg'iz,4,5,5,3,4,4.2,72%
I. Nodira,ijtimoiy ximoyaga muhtoj oila reestr,4,4,5,3,3,3.8,20%
T. Yoznur,chin yetim,5,4,4,5,4,4.4,80%
